x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,1.456982583939424092e+20,1.721734848251023040e+17
0.000000000000000000e+00,1.415287740548339062e+14,1.976247504234313071e+08
2.004008016032064418e-08,2.913752087986290688e+20,3.443469669104321920e+17
1.002004008016032209e-08,1.456982583939423601e+20,1.721734848251023680e+17
3.006012024048096958e-08,4.370309961174180823e+20,5.165204462829633280e+17
2.004008016032064418e-08,2.913752087986290688e+20,3.443469669104322560e+17
4.008016032064128836e-08,5.826656236948292239e+20,6.886939227720449280e+17
3.006012024048096958e-08,4.370309961174182134e+20,5.165204462829634560e+17
5.010020040080160715e-08,7.282790948826661519e+20,8.608673962070260480e+17
4.008016032064128836e-08,5.826656236948292239e+20,6.886939227720449280e+17
6.012024048096193916e-08,8.738714130300098314e+20,1.033040866417255424e+18
5.010020040080160715e-08,7.282790948826660209e+20,8.608673962070260480e+17
7.014028056112225794e-08,1.019442581485900136e+21,1.205214333232082432e+18
6.012024048096193916e-08,8.738714130300098314e+20,1.033040866417254912e+18
8.016032064128257673e-08,1.164992603598616658e+21,1.377387796480856064e+18
7.014028056112225794e-08,1.019442581485900136e+21,1.205214333232082176e+18
9.018036072144289551e-08,1.310521482715871838e+21,1.549561255992925440e+18
8.016032064128257673e-08,1.164992603598616396e+21,1.377387796480855552e+18
1.002004008016032143e-07,1.456029222184759591e+21,1.721734711597639680e+18
9.018036072144289551e-08,1.310521482715872625e+21,1.549561255992924928e+18
1.102204408817635463e-07,1.601515825351772078e+21,1.893908163124347136e+18
1.002004008016032143e-07,1.456029222184759591e+21,1.721734711597639168e+18
1.202404809619238783e-07,1.746981295562787652e+21,2.066081610402398976e+18
1.102204408817635463e-07,1.601515825351771816e+21,1.893908163124346624e+18
1.302605210420841839e-07,1.892425636163081470e+21,2.238255053261142016e+18
1.202404809619238783e-07,1.746981295562788438e+21,2.066081610402398464e+18
1.402805611222445159e-07,2.037848850497322615e+21,2.410428491529926656e+18
1.302605210420841839e-07,1.892425636163082519e+21,2.238255053261141248e+18
1.503006012024048214e-07,2.183250941909570421e+21,2.582601925038101504e+18
1.402805611222445159e-07,2.037848850497322615e+21,2.410428491529926144e+18
1.603206412825651535e-07,2.328631913743277097e+21,2.754775353615016448e+18
1.503006012024048214e-07,2.183250941909570421e+21,2.582601925038101504e+18
1.703406813627254855e-07,2.473991769341291921e+21,2.926948777090021376e+18
1.603206412825651535e-07,2.328631913743277097e+21,2.754775353615016960e+18
1.803607214428857910e-07,2.619330512045850755e+21,3.099122195292462592e+18
1.703406813627254855e-07,2.473991769341290873e+21,2.926948777090022400e+18
1.903807615230461230e-07,2.764648145198592295e+21,3.271295608051694592e+18
1.803607214428857910e-07,2.619330512045850231e+21,3.099122195292462080e+18
2.004008016032064286e-07,2.909944672140541821e+21,3.443469015197060096e+18
1.903807615230461230e-07,2.764648145198592819e+21,3.271295608051694080e+18
2.104208416833667606e-07,3.055220096212120109e+21,3.615642416557913600e+18
2.004008016032064286e-07,2.909944672140541821e+21,3.443469015197060608e+18
2.204408817635270926e-07,3.200474420753145004e+21,3.787815811963602944e+18
2.104208416833667606e-07,3.055220096212120109e+21,3.615642416557912064e+18
2.304609218436873982e-07,3.345707649102820934e+21,3.959989201243473920e+18
2.204408817635270926e-07,3.200474420753145004e+21,3.787815811963602432e+18
2.404809619238477567e-07,3.490919784599756734e+21,4.132162584226881024e+18
2.304609218436873982e-07,3.345707649102821458e+21,3.959989201243475456e+18
2.505010020040080622e-07,3.636110830581946253e+21,4.304335960743172608e+18
2.404809619238477567e-07,3.490919784599756210e+21,4.132162584226879488e+18
2.605210420841683677e-07,3.781280790386781979e+21,4.476509330621692416e+18
2.505010020040080622e-07,3.636110830581946253e+21,4.304335960743172608e+18
2.705410821643286733e-07,3.926429667351055041e+21,4.648682693691799552e+18
2.605210420841683677e-07,3.781280790386782503e+21,4.476509330621693952e+18
2.805611222444890318e-07,4.071557464810943152e+21,4.820856049782836224e+18
2.705410821643286733e-07,3.926429667351055565e+21,4.648682693691799552e+18
2.905811623246493373e-07,4.216664186102025814e+21,4.993029398724153344e+18
2.805611222444890318e-07,4.071557464810942628e+21,4.820856049782835200e+18
3.006012024048096429e-07,4.361749834559270158e+21,5.165202740345101312e+18
2.905811623246493373e-07,4.216664186102023193e+21,4.993029398724152320e+18
3.106212424849700014e-07,4.506814413517044580e+21,5.337376074475029504e+18
3.006012024048096429e-07,4.361749834559268585e+21,5.165202740345099264e+18
3.206412825651303069e-07,4.651857926309113496e+21,5.509549400943284224e+18
3.106212424849700014e-07,4.506814413517043532e+21,5.337376074475027456e+18
3.306613226452906125e-07,4.796880376268631048e+21,5.681722719579216896e+18
3.206412825651303069e-07,4.651857926309113496e+21,5.509549400943283200e+18
3.406813627254509709e-07,4.941881766728155791e+21,5.853896030212183040e+18
3.306613226452906125e-07,4.796880376268631048e+21,5.681722719579216896e+18
3.507014028056112765e-07,5.086862101019625521e+21,6.026069332671520768e+18
3.406813627254509709e-07,4.941881766728152646e+21,5.853896030212180992e+18
3.607214428857715820e-07,5.231821382474395550e+21,6.198242626786587648e+18
3.507014028056112765e-07,5.086862101019627618e+21,6.026069332671520768e+18
3.707414829659319405e-07,5.376759614423201481e+21,6.370415912386734080e+18
3.607214428857715820e-07,5.231821382474396598e+21,6.198242626786589696e+18
3.807615230460922461e-07,5.521676800196178084e+21,6.542589189301304320e+18
3.707414829659319405e-07,5.376759614423202529e+21,6.370415912386735104e+18
3.907815631262525516e-07,5.666572943122855100e+21,6.714762457359651840e+18
3.807615230460922461e-07,5.521676800196178084e+21,6.542589189301303296e+18
4.008016032064128572e-07,5.811448046532202332e+21,6.886935716391123968e+18
3.907815631262525516e-07,5.666572943122851955e+21,6.714762457359646720e+18
4.108216432865732157e-07,5.956302113752362254e+21,7.059108966225070080e+18
4.008016032064128572e-07,5.811448046532201284e+21,6.886935716391121920e+18
4.208416833667335212e-07,6.101135148111738438e+21,7.231282206690841600e+18
4.108216432865732157e-07,5.956302113752360157e+21,7.059108966225070080e+18
4.308617234468938267e-07,6.245947152934912393e+21,7.403455437617785856e+18
4.208416833667335212e-07,6.101135148111738438e+21,7.231282206690842624e+18
