x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,5.292915116525398917e+20,1.548994254150020956e+20
0.000000000000000000e+00,1.037275037237108875e+15,8.431258463403317188e+13
2.004008016032064418e-08,9.888983180962714092e+20,3.091304904520044380e+20
1.002004008016032209e-08,5.292915116525400883e+20,1.548994254150021612e+20
3.006012024048096958e-08,1.390570712911619293e+21,4.621017459545860342e+20
2.004008016032064418e-08,9.888983180962712781e+20,3.091304904520044380e+20
4.008016032064128836e-08,1.743371694190923088e+21,6.133018293830784123e+20
3.006012024048096958e-08,1.390570712911619293e+21,4.621017459545860997e+20
5.010020040080160715e-08,2.054487142201091424e+21,7.622947778685622026e+20
4.008016032064128836e-08,1.743371694190923612e+21,6.133018293830784123e+20
6.012024048096193916e-08,2.329735719010596291e+21,9.087139035221036892e+20
5.010020040080160715e-08,2.054487142201091949e+21,7.622947778685622026e+20
7.014028056112225794e-08,2.573907836211046646e+21,1.052255074656012993e+21
6.012024048096193916e-08,2.329735719010594980e+21,9.087139035221035581e+20
8.016032064128257673e-08,2.791000316128151470e+21,1.192669920998369264e+21
7.014028056112225794e-08,2.573907836211044549e+21,1.052255074656013124e+21
9.018036072144289551e-08,2.984384427543622058e+21,1.329759290247644185e+21
8.016032064128257673e-08,2.791000316128150422e+21,1.192669920998369264e+21
1.002004008016032143e-07,3.156929607104548307e+21,1.463367145010856985e+21
9.018036072144289551e-08,2.984384427543623107e+21,1.329759290247643660e+21
1.102204408817635463e-07,3.311096726075881292e+21,1.593374993711461827e+21
1.002004008016032143e-07,3.156929607104548831e+21,1.463367145010856722e+21
1.202404809619238783e-07,3.449009827536652730e+21,1.719696886389017412e+21
1.102204408817635463e-07,3.311096726075880767e+21,1.593374993711461827e+21
1.302605210420841839e-07,3.572512271087792292e+21,1.842274967241067332e+21
1.202404809619238783e-07,3.449009827536652206e+21,1.719696886389017936e+21
1.402805611222445159e-07,3.683211343926292120e+21,1.961075553009773052e+21
1.302605210420841839e-07,3.572512271087792816e+21,1.842274967241067069e+21
1.503006012024048214e-07,3.782514180922875576e+21,2.076085694464364642e+21
1.402805611222445159e-07,3.683211343926291595e+21,1.961075553009772790e+21
1.603206412825651535e-07,3.871657027173566382e+21,2.187310173405434348e+21
1.503006012024048214e-07,3.782514180922874003e+21,2.076085694464364118e+21
1.703406813627254855e-07,3.951729325361760043e+21,2.294768887143656325e+21
1.603206412825651535e-07,3.871657027173566382e+21,2.187310173405434348e+21
1.803607214428857910e-07,4.023693726898431459e+21,2.398494574483657982e+21
1.703406813627254855e-07,3.951729325361759519e+21,2.294768887143657112e+21
1.903807615230461230e-07,4.088402854078784209e+21,2.498530840692147618e+21
1.803607214428857910e-07,4.023693726898432508e+21,2.398494574483657458e+21
2.004008016032064286e-07,4.146613444598611575e+21,2.594930442993599513e+21
1.903807615230461230e-07,4.088402854078783160e+21,2.498530840692147094e+21
2.104208416833667606e-07,4.198998366362544374e+21,2.687753802349996933e+21
2.004008016032064286e-07,4.146613444598611575e+21,2.594930442993600037e+21
2.204408817635270926e-07,4.246156884046203847e+21,2.777067711368331788e+21
2.104208416833667606e-07,4.198998366362545422e+21,2.687753802349996933e+21
2.304609218436873982e-07,4.288623478809449464e+21,2.862944211989278228e+21
2.204408817635270926e-07,4.246156884046202798e+21,2.777067711368331788e+21
2.404809619238477567e-07,4.326875461634945450e+21,2.945459620070823035e+21
2.304609218436873982e-07,4.288623478809448415e+21,2.862944211989278228e+21
2.505010020040080622e-07,4.361339573900353733e+21,3.024693677068193890e+21
2.404809619238477567e-07,4.326875461634945974e+21,2.945459620070822511e+21
2.605210420841683677e-07,4.392397732374162440e+21,3.100728811732109099e+21
2.505010020040080622e-07,4.361339573900355305e+21,3.024693677068193366e+21
2.705410821643286733e-07,4.420392047257396445e+21,3.173649497123198075e+21
2.605210420841683677e-07,4.392397732374164013e+21,3.100728811732108050e+21
2.805611222444890318e-07,4.445629219286130098e+21,3.243541690301372432e+21
2.705410821643286733e-07,4.420392047257395921e+21,3.173649497123198075e+21
2.905811623246493373e-07,4.468384403871141724e+21,3.310492343828246692e+21
2.805611222444890318e-07,4.445629219286127477e+21,3.243541690301371908e+21
3.006012024048096429e-07,4.488904615746057798e+21,3.374588979751305085e+21
2.905811623246493373e-07,4.468384403871141724e+21,3.310492343828245119e+21
3.106212424849700014e-07,4.507411735846051119e+21,3.435919318051987128e+21
3.006012024048096429e-07,4.488904615746057273e+21,3.374588979751305609e+21
3.206412825651303069e-07,4.524105172556629148e+21,3.494570952664743936e+21
3.106212424849700014e-07,4.507411735846050595e+21,3.435919318051987128e+21
3.306613226452906125e-07,4.539164221605244568e+21,3.550631069136537518e+21
3.206412825651303069e-07,4.524105172556628099e+21,3.494570952664742887e+21
3.406813627254509709e-07,4.552750162370353955e+21,3.604186198818752037e+21
3.306613226452906125e-07,4.539164221605244043e+21,3.550631069136538567e+21
3.507014028056112765e-07,4.565008122983604027e+21,3.655322005186227470e+21
3.406813627254509709e-07,4.552750162370353431e+21,3.604186198818750988e+21
3.607214428857715820e-07,4.576068742089962160e+21,3.704123098478407582e+21
3.507014028056112765e-07,4.565008122983605076e+21,3.655322005186227470e+21
