x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,5.472181510886614509e+24,1.728244483426302787e+24
0.000000000000000000e+00,8.532206982424691527e+22,7.701692741095225557e+21
2.004008016032064418e-08,9.486074925550052957e+24,3.355116707488809081e+24
1.002004008016032209e-08,5.472181510886614509e+24,1.728244483426302518e+24
3.006012024048096958e-08,1.259967262044948370e+25,4.890304865142479002e+24
2.004008016032064418e-08,9.486074925550054031e+24,3.355116707488806933e+24
4.008016032064128836e-08,1.507419970334403377e+25,6.336520406401120721e+24
3.006012024048096958e-08,1.259967262044949229e+25,4.890304865142481149e+24
5.010020040080160715e-08,1.708228661435239686e+25,7.697273264225407551e+24
4.008016032064128836e-08,1.507419970334404022e+25,6.336520406401123942e+24
6.012024048096193916e-08,1.873790297222362109e+25,8.976504957977416161e+24
5.010020040080160715e-08,1.708228661435239257e+25,7.697273264225408625e+24
7.014028056112225794e-08,2.012084053705934860e+25,1.017841314130990815e+25
6.012024048096193916e-08,1.873790297222362109e+25,8.976504957977417235e+24
8.016032064128257673e-08,2.128835774143632126e+25,1.130729091265795880e+25
7.014028056112225794e-08,2.012084053705934860e+25,1.017841314130990815e+25
9.018036072144289551e-08,2.228278326829729957e+25,1.236741666981950203e+25
8.016032064128257673e-08,2.128835774143632126e+25,1.130729091265795236e+25
1.002004008016032143e-07,2.313610018151660888e+25,1.336297433800783443e+25
9.018036072144289551e-08,2.228278326829728668e+25,1.236741666981949559e+25
1.102204408817635463e-07,2.387296207072343201e+25,1.429799976919799254e+25
1.002004008016032143e-07,2.313610018151660888e+25,1.336297433800783013e+25
1.202404809619238783e-07,2.451269602006391208e+25,1.517634635904744522e+25
1.102204408817635463e-07,2.387296207072343201e+25,1.429799976919799254e+25
1.302605210420841839e-07,2.507068050753012111e+25,1.600166515446511542e+25
1.202404809619238783e-07,2.451269602006390778e+25,1.517634635904745166e+25
1.402805611222445159e-07,2.555931249195965080e+25,1.677739549594118130e+25
1.302605210420841839e-07,2.507068050753010393e+25,1.600166515446511112e+25
1.503006012024048214e-07,2.598870125390180516e+25,1.750676319808990840e+25
1.402805611222445159e-07,2.555931249195964650e+25,1.677739549594118130e+25
1.603206412825651535e-07,2.636717522134483786e+25,1.819278397343887031e+25
1.503006012024048214e-07,2.598870125390179657e+25,1.750676319808990410e+25
