x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,1.301717539061383037e+21,7.053591895124384768e+18
0.000000000000000000e+00,-9.746093749999995634e+04,0.000000000000000000e+00
2.004008016032064418e-08,2.601707910617353945e+21,1.410718378943154586e+19
1.002004008016032209e-08,1.301717539061383037e+21,7.053591895124381696e+18
3.006012024048096958e-08,3.899974418420792820e+21,2.116077568210425037e+19
2.004008016032064418e-08,2.601707910617353945e+21,1.410718378943154790e+19
4.008016032064128836e-08,5.196520356247304667e+21,2.821436757232533504e+19
3.006012024048096958e-08,3.899974418420792820e+21,2.116077568210425856e+19
5.010020040080160715e-08,6.491349007941206278e+21,3.526795945927758643e+19
4.008016032064128836e-08,5.196520356247302570e+21,2.821436757232534733e+19
6.012024048096193916e-08,7.784463647461268783e+21,4.232155134214388122e+19
5.010020040080160715e-08,6.491349007941206278e+21,3.526795945927759053e+19
7.014028056112225794e-08,9.075867538926117847e+21,4.937514322010702643e+19
6.012024048096193916e-08,7.784463647461265637e+21,4.232155134214386483e+19
8.016032064128257673e-08,1.036556393665938011e+22,5.642873509234984550e+19
7.014028056112225794e-08,9.075867538926118896e+21,4.937514322010701824e+19
9.018036072144289551e-08,1.165355608523458321e+22,6.348232695805531750e+19
8.016032064128257673e-08,1.036556393665938011e+22,5.642873509234984550e+19
1.002004008016032143e-07,1.293984721951964057e+22,7.053591881640626586e+19
9.018036072144289551e-08,1.165355608523457692e+22,6.348232695805531750e+19
1.102204408817635463e-07,1.422444056472124916e+22,7.758951066658562048e+19
1.002004008016032143e-07,1.293984721951963637e+22,7.053591881640623309e+19
1.202404809619238783e-07,1.550733933642883740e+22,8.464310250777629491e+19
1.102204408817635463e-07,1.422444056472124916e+22,7.758951066658562048e+19
1.302605210420841839e-07,1.678854674065836841e+22,9.169669433916124365e+19
1.202404809619238783e-07,1.550733933642883950e+22,8.464310250777631130e+19
1.402805611222445159e-07,1.806806597389573423e+22,9.875028615992338022e+19
1.302605210420841839e-07,1.678854674065836422e+22,9.169669433916121088e+19
1.503006012024048214e-07,1.934590022314005994e+22,1.058038779692457329e+20
1.402805611222445159e-07,1.806806597389573213e+22,9.875028615992339661e+19
1.603206412825651535e-07,2.062205266594655686e+22,1.128574697663112806e+20
1.503006012024048214e-07,1.934590022314005994e+22,1.058038779692457001e+20
1.703406813627254855e-07,2.189652647046922476e+22,1.199110615503029371e+20
1.603206412825651535e-07,2.062205266594655266e+22,1.128574697663112315e+20
1.803607214428857910e-07,2.316932479550326256e+22,1.269646533204037796e+20
1.703406813627254855e-07,2.189652647046922476e+22,1.199110615503029371e+20
1.903807615230461230e-07,2.444045079052719174e+22,1.340182450757968691e+20
1.803607214428857910e-07,2.316932479550324998e+22,1.269646533204037796e+20
2.004008016032064286e-07,2.570990759574473225e+22,1.410718368156651684e+20
1.903807615230461230e-07,2.444045079052719594e+22,1.340182450757968527e+20
2.104208416833667606e-07,2.697769834212650648e+22,1.481254285391917875e+20
2.004008016032064286e-07,2.570990759574473225e+22,1.410718368156652175e+20
2.204408817635270926e-07,2.824382615145126927e+22,1.551790202455598694e+20
2.104208416833667606e-07,2.697769834212649809e+22,1.481254285391918531e+20
2.304609218436873982e-07,2.950829413634717568e+22,1.622326119339524096e+20
2.204408817635270926e-07,2.824382615145127766e+22,1.551790202455599022e+20
2.404809619238477567e-07,3.077110540033249929e+22,1.692862036035524690e+20
2.304609218436873982e-07,2.950829413634716729e+22,1.622326119339524096e+20
2.505010020040080622e-07,3.203226303785635047e+22,1.763397952535433708e+20
2.404809619238477567e-07,3.077110540033249090e+22,1.692862036035525018e+20
2.605210420841683677e-07,3.329177013433902144e+22,1.833933868831079793e+20
2.505010020040080622e-07,3.203226303785636305e+22,1.763397952535432724e+20
2.705410821643286733e-07,3.454962976621210055e+22,1.904469784914295849e+20
2.605210420841683677e-07,3.329177013433903402e+22,1.833933868831078810e+20
2.805611222444890318e-07,3.580584500095831402e+22,1.975005700776914780e+20
2.705410821643286733e-07,3.454962976621209636e+22,1.904469784914295849e+20
2.905811623246493373e-07,3.706041889715117045e+22,2.045541616410766213e+20
2.805611222444890318e-07,3.580584500095828886e+22,1.975005700776913469e+20
3.006012024048096429e-07,3.831335450449443344e+22,2.116077531807681741e+20
2.905811623246493373e-07,3.706041889715114528e+22,2.045541616410765230e+20
3.106212424849700014e-07,3.956465486386115379e+22,2.186613446959496888e+20
3.006012024048096429e-07,3.831335450449442505e+22,2.116077531807681741e+20
3.206412825651303069e-07,4.081432300733268492e+22,2.257149361858039644e+20
3.106212424849700014e-07,3.956465486386115379e+22,2.186613446959495905e+20
3.306613226452906125e-07,4.206236195823730400e+22,2.327685276495145861e+20
3.206412825651303069e-07,4.081432300733266815e+22,2.257149361858038989e+20
3.406813627254509709e-07,4.330877473118872404e+22,2.398221190862646477e+20
3.306613226452906125e-07,4.206236195823730400e+22,2.327685276495145533e+20
3.507014028056112765e-07,4.455356433212423694e+22,2.468757104952374395e+20
3.406813627254509709e-07,4.330877473118872404e+22,2.398221190862645166e+20
3.607214428857715820e-07,4.579673375834274739e+22,2.539293018756162191e+20
3.507014028056112765e-07,4.455356433212423694e+22,2.468757104952373412e+20
3.707414829659319405e-07,4.703828599854253841e+22,2.609828932265844408e+20
3.607214428857715820e-07,4.579673375834275578e+22,2.539293018756162191e+20
3.807615230460922461e-07,4.827822403285881035e+22,2.680364845473251000e+20
3.707414829659319405e-07,4.703828599854253002e+22,2.609828932265844081e+20
3.907815631262525516e-07,4.951655083290092634e+22,2.750900758370220442e+20
3.807615230460922461e-07,4.827822403285880196e+22,2.680364845473250673e+20
4.008016032064128572e-07,5.075326936178960735e+22,2.821436670948579410e+20
3.907815631262525516e-07,4.951655083290092634e+22,2.750900758370219131e+20
4.108216432865732157e-07,5.198838257419374140e+22,2.891972583200167363e+20
4.008016032064128572e-07,5.075326936178959896e+22,2.821436670948580393e+20
4.208416833667335212e-07,5.322189341636698309e+22,2.962508495116814909e+20
4.108216432865732157e-07,5.198838257419373301e+22,2.891972583200168346e+20
4.308617234468938267e-07,5.445380482618430272e+22,3.033044406690358231e+20
4.208416833667335212e-07,5.322189341636697470e+22,2.962508495116814909e+20
4.408817635270541852e-07,5.568411973317809091e+22,3.103580317912630559e+20
4.308617234468938267e-07,5.445380482618431111e+22,3.033044406690358231e+20
4.509018036072144908e-07,5.691284105857422957e+22,3.174116228775464141e+20
4.408817635270541852e-07,5.568411973317806575e+22,3.103580317912629248e+20
4.609218436873747963e-07,5.813997171532778544e+22,3.244652139270695813e+20
4.509018036072144908e-07,5.691284105857420440e+22,3.174116228775463485e+20
4.709418837675351548e-07,5.936551460815877911e+22,3.315188049390159135e+20
4.609218436873747963e-07,5.813997171532780221e+22,3.244652139270695158e+20
4.809619238476955133e-07,6.058947263358729139e+22,3.385723959125688320e+20
4.709418837675351548e-07,5.936551460815877911e+22,3.315188049390159790e+20
4.909819639278558188e-07,6.181184867996885477e+22,3.456259868469119549e+20
4.809619238476955133e-07,6.058947263358728300e+22,3.385723959125687665e+20
5.010020040080161244e-07,6.303264562752927459e+22,3.526795777412287037e+20
4.909819639278558188e-07,6.181184867996884638e+22,3.456259868469119549e+20
5.110220440881764299e-07,6.425186634839934108e+22,3.597331685947024998e+20
5.010020040080161244e-07,6.303264562752927459e+22,3.526795777412287037e+20
5.210420841683367355e-07,6.546951370664958335e+22,3.667867594065169613e+20
5.110220440881764299e-07,6.425186634839936624e+22,3.597331685947026309e+20
5.310621242484970410e-07,6.668559055832439430e+22,3.738403501758557716e+20
5.210420841683367355e-07,6.546951370664959174e+22,3.667867594065170268e+20
5.410821643286573466e-07,6.790009975147615538e+22,3.808939409019023524e+20
5.310621242484970410e-07,6.668559055832439430e+22,3.738403501758557061e+20
5.511022044088177580e-07,6.911304412619947062e+22,3.879475315838400594e+20
5.410821643286573466e-07,6.790009975147617216e+22,3.808939409019022213e+20
5.611222444889780636e-07,7.032442651466453641e+22,3.950011222208530350e+20
5.511022044088177580e-07,6.911304412619947901e+22,3.879475315838399939e+20
5.711422845691383691e-07,7.153424974115095603e+22,4.020547128121240453e+20
5.611222444889780636e-07,7.032442651466456157e+22,3.950011222208530350e+20
5.811623246492986747e-07,7.274251662208099208e+22,4.091083033568376914e+20
5.711422845691383691e-07,7.153424974115100636e+22,4.020547128121242419e+20
5.911823647294589802e-07,7.394922996605276861e+22,4.161618938541768049e+20
5.811623246492986747e-07,7.274251662208099208e+22,4.091083033568376914e+20
6.012024048096192857e-07,7.515439257387311248e+22,4.232154843033256591e+20
5.911823647294589802e-07,7.394922996605274345e+22,4.161618938541768049e+20
6.112224448897796972e-07,7.635800723859055418e+22,4.302690747034675446e+20
6.012024048096192857e-07,7.515439257387307893e+22,4.232154843033254625e+20
6.212424849699400027e-07,7.756007674552774138e+22,4.373226650537862103e+20
6.112224448897796972e-07,7.635800723859052062e+22,4.302690747034674135e+20
6.312625250501003083e-07,7.876060387231389450e+22,4.443762553534649467e+20
6.212424849699400027e-07,7.756007674552772461e+22,4.373226650537861448e+20
