x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,3.025155291449910100e+21,5.276193649448390656e+18
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032064418e-08,6.049580009511530267e+21,1.055238729888236339e+19
1.002004008016032209e-08,3.025155291449908527e+21,5.276193649448390656e+18
3.006012024048096958e-08,9.073274354510256407e+21,1.582858094828748390e+19
2.004008016032064418e-08,6.049580009511529218e+21,1.055238729888236339e+19
4.008016032064128836e-08,1.209623852670230148e+22,2.110477459764936294e+19
3.006012024048096958e-08,9.073274354510258504e+21,1.582858094828748800e+19
5.010020040080160715e-08,1.511847272627471332e+22,2.638096824695352934e+19
4.008016032064128836e-08,1.209623852670229728e+22,2.110477459764935475e+19
6.012024048096193916e-08,1.813997715334541764e+22,3.165716189618560205e+19
5.010020040080160715e-08,1.511847272627470493e+22,2.638096824695353344e+19
7.014028056112225794e-08,2.116075200796323060e+22,3.693335554533115494e+19
6.012024048096193916e-08,1.813997715334541135e+22,3.165716189618560205e+19
8.016032064128257673e-08,2.418079749010793641e+22,4.220954919437574963e+19
7.014028056112225794e-08,2.116075200796323060e+22,3.693335554533113037e+19
9.018036072144289551e-08,2.720011379969028941e+22,4.748574284330496000e+19
8.016032064128257673e-08,2.418079749010793641e+22,4.220954919437573325e+19
1.002004008016032143e-07,3.021870113655202251e+22,5.276193649210439270e+19
9.018036072144289551e-08,2.720011379969029361e+22,4.748574284330495181e+19
1.102204408817635463e-07,3.323655970046597713e+22,5.803813014075960525e+19
1.002004008016032143e-07,3.021870113655203509e+22,5.276193649210438451e+19
1.202404809619238783e-07,3.625368969113598165e+22,6.331432378925617971e+19
1.102204408817635463e-07,3.323655970046597713e+22,5.803813014075958067e+19
1.302605210420841839e-07,3.927009130819705687e+22,6.859051743757969818e+19
1.202404809619238783e-07,3.625368969113599423e+22,6.331432378925617971e+19
1.402805611222445159e-07,4.228576475121528183e+22,7.386671108571573453e+19
1.302605210420841839e-07,3.927009130819705687e+22,6.859051743757971456e+19
1.503006012024048214e-07,4.530071021968802447e+22,7.914290473364991181e+19
1.402805611222445159e-07,4.228576475121528183e+22,7.386671108571573453e+19
1.603206412825651535e-07,4.831492791304371936e+22,8.441909838136770560e+19
1.503006012024048214e-07,4.530071021968801608e+22,7.914290473364987904e+19
1.703406813627254855e-07,5.132841803064218223e+22,8.969529202885482906e+19
1.603206412825651535e-07,4.831492791304372775e+22,8.441909838136768922e+19
1.803607214428857910e-07,5.434118077177439191e+22,9.497148567609671680e+19
1.703406813627254855e-07,5.132841803064218223e+22,8.969529202885477990e+19
1.903807615230461230e-07,5.735321633566270004e+22,1.002476793230790656e+20
1.803607214428857910e-07,5.434118077177440030e+22,9.497148567609666765e+19
2.004008016032064286e-07,6.036452492146083103e+22,1.055238729697873592e+20
1.903807615230461230e-07,5.735321633566270842e+22,1.002476793230790328e+20
2.104208416833667606e-07,6.337510672825378144e+22,1.108000666162072453e+20
2.004008016032064286e-07,6.036452492146080586e+22,1.055238729697873592e+20
2.204408817635270926e-07,6.638496195505802130e+22,1.160762602623243059e+20
2.104208416833667606e-07,6.337510672825377305e+22,1.108000666162072781e+20
2.304609218436873982e-07,6.939409080082146892e+22,1.213524539081241068e+20
2.204408817635270926e-07,6.638496195505801291e+22,1.160762602623243223e+20
2.404809619238477567e-07,7.240249346442349930e+22,1.266286475535921807e+20
2.304609218436873982e-07,6.939409080082147731e+22,1.213524539081241068e+20
2.505010020040080622e-07,7.541017014467496929e+22,1.319048411987141427e+20
