x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,3.622964957246250287e+21,3.001025324096368128e+18
0.000000000000000000e+00,1.011457472913280750e+15,1.907413337707518637e+08
2.004008016032064418e-08,7.245547392614257394e+21,6.002050645705657344e+18
1.002004008016032209e-08,3.622964957246253433e+21,3.001025324096367104e+18
3.006012024048096958e-08,1.086774835830484212e+22,9.003075965011169280e+18
2.004008016032064418e-08,7.245547392614263685e+21,6.002050645705655296e+18
4.008016032064128836e-08,1.448956789501169815e+22,1.200410128200547328e+19
3.006012024048096958e-08,1.086774835830484841e+22,9.003075965011166208e+18
5.010020040080160715e-08,1.811100604343617638e+22,1.500512659668111770e+19
4.008016032064128836e-08,1.448956789501170444e+22,1.200410128200547123e+19
6.012024048096193916e-08,2.173206284427190705e+22,1.800615190903067853e+19
5.010020040080160715e-08,1.811100604343618057e+22,1.500512659668111974e+19
7.014028056112225794e-08,2.535273833820898460e+22,2.100717721904671130e+19
6.012024048096193916e-08,2.173206284427191963e+22,1.800615190903068467e+19
8.016032064128257673e-08,2.897303256593275132e+22,2.400820252672176947e+19
7.014028056112225794e-08,2.535273833820896362e+22,2.100717721904669901e+19
9.018036072144289551e-08,3.259294556812417696e+22,2.700922783204844339e+19
8.016032064128257673e-08,2.897303256593272196e+22,2.400820252672178176e+19
1.002004008016032143e-07,3.621247738545978946e+22,3.001025313501926195e+19
9.018036072144289551e-08,3.259294556812416437e+22,2.700922783204844749e+19
1.102204408817635463e-07,3.983162805861170859e+22,3.301127843562681139e+19
1.002004008016032143e-07,3.621247738545978107e+22,3.001025313501927834e+19
1.202404809619238783e-07,4.345039762824744036e+22,3.601230373386364109e+19
1.102204408817635463e-07,3.983162805861168343e+22,3.301127843562679910e+19
1.302605210420841839e-07,4.706878613503022517e+22,3.901332902972232499e+19
1.202404809619238783e-07,4.345039762824744875e+22,3.601230373386365747e+19
1.402805611222445159e-07,5.068679361961872327e+22,4.201435432319542886e+19
1.302605210420841839e-07,4.706878613503024195e+22,3.901332902972232499e+19
1.503006012024048214e-07,5.430442012266725795e+22,4.501537961427547750e+19
1.402805611222445159e-07,5.068679361961877360e+22,4.201435432319540429e+19
1.603206412825651535e-07,5.792166568482560593e+22,4.801640490295505715e+19
1.503006012024048214e-07,5.430442012266724957e+22,4.501537961427544474e+19
1.703406813627254855e-07,6.153853034673908954e+22,5.101743018922672947e+19
1.603206412825651535e-07,5.792166568482558077e+22,4.801640490295505715e+19
1.803607214428857910e-07,6.515501414904863549e+22,5.401845547308310528e+19
1.703406813627254855e-07,6.153853034673904760e+22,5.101743018922675405e+19
1.903807615230461230e-07,6.877111713239073292e+22,5.701948075451669709e+19
1.803607214428857910e-07,6.515501414904861032e+22,5.401845547308307251e+19
2.004008016032064286e-07,7.238683933739734113e+22,6.002050603352000922e+19
1.903807615230461230e-07,6.877111713239071615e+22,5.701948075451663155e+19
