# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.449999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.315709154711179872e+04,3.130329610648469995e-03,1.190760614362820075e-02,2.080995403549109890e-01,1.123965221993270092e+00,5.079823000070949648e-06,5.018225007015079996e-06
5.125366143071150145e+04,3.286804011212460155e-03,2.561572805054300114e-02,2.612594940312309988e-01,1.049911159867789934e+00,8.532439882768830074e-06,8.390527628492079791e-06
7.560000000000000000e+04,3.047316284822649841e-03,3.455174955889159932e-02,2.670538594101239949e-01,1.048301762062590070e+00,8.992425297786599947e-06,8.798244311903220252e-06
9.720000000000000000e+04,3.064477590569080097e-03,4.070436486067689763e-02,2.678098123535619934e-01,1.042036382234750036e+00,1.022948770770899923e-05,9.999275785498589703e-06
1.170000000000000000e+05,3.077011690696399970e-03,4.519808485155400041e-02,2.679406370013069916e-01,1.038032934207399949e+00,1.113300739978289923e-05,1.087647936072349960e-05
1.369811870234739908e+05,3.147366320259139920e-03,4.883849200352480269e-02,2.679276405756200186e-01,1.031877496802620087e+00,1.225156054960120078e-05,1.197367298857590032e-05
1.571435610704169958e+05,3.269286885082640145e-03,5.178611908302149791e-02,2.677585788331869887e-01,1.024279844407659956e+00,1.343494010687779921e-05,1.313975464502310079e-05
1.772900584120879939e+05,3.376675660672319793e-03,5.415513620154360080e-02,2.676537462543969736e-01,1.018236550091230042e+00,1.430588701956179983e-05,1.399684661096990001e-05
1.971825438090669923e+05,3.407565757371520086e-03,5.603339412910220141e-02,2.676515148825310275e-01,1.015924234067129950e+00,1.476741440124769985e-05,1.444738729939059964e-05
2.172600000000000000e+05,3.485771777287549784e-03,5.756374594977620163e-02,2.677277324430369920e-01,1.011948337041669976e+00,1.528404297255610099e-05,1.495510928797949926e-05
